一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
粮油,米面类,东北大米,2.5,2.75,3.0,,,斤,2023-06-30 00:00:00
粮油,米面类,古船大米,2.36,2.43,2.5,蓝,,斤,2023-06-30 00:00:00
粮油,米面类,古船龙粳长粒大米,2.5,2.55,2.6,,,斤,2023-06-30 00:00:00
粮油,米面类,金龙鱼东北大米,2.9,2.95,3.0,,,斤,2023-06-30 00:00:00
粮油,米面类,松花江大米,2.1,2.15,2.2,,,斤,2023-06-30 00:00:00
粮油,米面类,兴安盟魏佳大米,2.6,2.65,2.7,,,斤,2023-06-30 00:00:00
粮油,米面类,首农双河长粒香大米,2.9,2.95,3.0,,,斤,2023-06-20 00:00:00
粮油,米面类,东北盘锦大米,2.4,2.45,2.5,,,斤,2023-06-20 00:00:00
粮油,米面类,东北大米,2.5,2.75,3.0,,,斤,2023-06-20 00:00:00
粮油,米面类,古船大米,2.36,2.43,2.5,蓝,,斤,2023-06-20 00:00:00
粮油,米面类,古船龙粳长粒大米,2.5,2.55,2.6,,,斤,2023-06-20 00:00:00
粮油,米面类,金龙鱼东北大米,2.9,2.95,3.0,,,斤,2023-06-20 00:00:00
粮油,米面类,松花江大米,2.1,2.15,2.2,,,斤,2023-06-20 00:00:00
粮油,米面类,兴安盟魏佳大米,2.6,2.65,2.7,,,斤,2023-06-20 00:00:00
粮油,米面类,首农双河长粒香大米,2.9,2.95,3.0,,,斤,2023-06-10 00:00:00
粮油,米面类,东北盘锦大米,2.4,2.45,2.5,,,斤,2023-06-10 00:00:00
粮油,米面类,东北大米,2.5,2.75,3.0,,,斤,2023-06-10 00:00:00
粮油,米面类,古船大米,2.36,2.43,2.5,蓝,,斤,2023-06-10 00:00:00
粮油,米面类,古船龙粳长粒大米,2.5,2.55,2.6,,,斤,2023-06-10 00:00:00
粮油,米面类,金龙鱼东北大米,2.9,2.95,3.0,,,斤,2023-06-10 00:00:00
粮油,米面类,松花江大米,2.1,2.15,2.2,,,斤,2023-06-10 00:00:00
粮油,米面类,兴安盟魏佳大米,2.6,2.65,2.7,,,斤,2023-06-10 00:00:00
